ParName   Value   Gradient
parm_dev[1](2015)     0.622355 -1.25705e-005
parm_dev[1](2016)      1.40637 -3.69016e-006
parm_dev[1](2017)      2.28164 -1.54993e-005
parm_dev[1](2018)     0.500194 4.31348e-006
parm_dev[1](2019)     0.301426 1.92628e-006
parm_dev[2](1982)     0.681945 9.75049e-006
parm_dev[2](1983)      1.78883 5.51006e-006
parm_dev[2](1984)      2.38422 1.18439e-005
parm_dev[2](1985)      1.19867 6.16781e-006
parm_dev[2](1986)      2.18886 4.38844e-006
parm_dev[2](1987)     0.318252 1.17879e-005
parm_dev[2](1988)      1.98235 -1.82372e-006
parm_dev[2](1989)    -0.513211 6.99333e-006
parm_dev[2](1990)    -0.450975 5.55462e-007
parm_dev[2](1991)     -2.33179 -2.84591e-005
parm_dev[2](1992)     -1.69184 -5.11048e-006
parm_dev[2](1993)      -2.3052 -1.53677e-005
parm_dev[2](1994)     -1.38154 -1.61788e-005
parm_dev[2](1995)     -1.50453 -5.83039e-006
parm_dev[2](1996)     -1.94275 -1.16908e-005
parm_dev[2](1997)     -2.45269 -2.24688e-005
parm_dev[2](1998)     -1.81166 -4.02951e-005
parm_dev[2](1999)     -1.45407 -1.48356e-005
parm_dev[2](2000)     -2.74016 -1.52726e-006
parm_dev[2](2001)    -0.914944 -1.97967e-005
parm_dev[2](2002)     -1.89729 3.94176e-008
parm_dev[2](2003)     -3.59654 -2.67148e-005
parm_dev[2](2004)     -4.73871 -1.4715e-005
parm_dev[2](2005)     -4.37003 -1.72869e-005
parm_dev[2](2006)     -3.86236 3.83356e-006
parm_dev[2](2007)     -1.67277 -3.71389e-006
parm_dev[2](2008)     -3.55913 -6.75498e-006
parm_dev[2](2009)     -1.83297 -1.39276e-005
parm_dev[2](2010)     0.214928 -3.41966e-005
parm_dev[2](2011)      1.00302 1.29767e-006
parm_dev[2](2012)    -0.765391 -7.92089e-006
parm_dev[2](2013)     -1.48734 3.50385e-006
parm_dev[2](2014)     0.617351 8.95784e-007
parm_dev[2](2015)      2.59703 1.56443e-006
parm_dev[2](2016)      2.83815  1.1859e-006
parm_dev[2](2017)    -0.570588 -4.10462e-006
parm_dev[2](2018)      1.88363 -4.85931e-006
parm_dev[2](2019) 8.16709e-007 1.28288e-005
