est,conf.up,conf.low,trend,index,dummy0,isSig
-0.2559429978507238,0.17785193084194903,-0.6897379265433966,1,meanK,0,0
0.4262611858429183,0.6542029531880303,0.19831941849780624,1,OC_LUSI_39N,0,1
0.07121641863497494,0.4943415163701728,-0.3519086791002229,1,sardSpawnHab,0,0
-0.5378418591520046,-0.12213947390427561,-0.9535442443997334,1,sardNurseHab,0,1
-0.7085851370809577,-0.32656631620339843,-1.0906039579585167,1,springSST,0,1
-0.040820052078293645,0.43534858361066747,-0.5169886877672546,1,randTest,0,0
-0.12626656436001812,-0.1833395244933707,-0.06919360422666553,2,NCOPspring,0,1
-0.010008095236098302,0.08333016677943952,-0.10334635725163613,2,NCOPsummerlag1,0,0
-0.21687753491585707,0.15453816784368496,-0.5882932376753991,2,BEUTI_33N,0,0
-0.14980490785723716,0.38537040378837584,-0.68498021950285,2,BEUTI_39N,0,0
-0.11239188377066614,0.26018656331856377,-0.4849703308598961,2,CUTI_33N,0,0
-0.045291336924457,0.5039594582181076,-0.5945421320670217,2,CUTI_39N,0,0
-0.06342397682842038,0.12442097908720073,-0.25126893274404155,2,OC_LUSI_33N,0,0
0.04951745033861192,0.24805883502513226,-0.14902393434790842,2,OC_STI_33N,0,0
0.11146107926121696,0.9190231956064908,-0.6961010370840569,2,RREAS_Myctophids,0,0
-0.02426899823990979,0.21350201361696822,-0.2620400100967878,2,RREAS_YOYsardine,0,0
0.07419190990683006,1.4300574799293524,-1.2816736601156924,2,age1SprSardmeanWAA,0,0
-0.003808226396783493,1.3010222218794565,-1.3086386746730236,2,meanSSBwt,0,0
-0.09009301199043031,0.358267163072597,-0.5384531870534576,2,ZM_NorCal,0,0
0.03934605317805171,0.45559927946113843,-0.37690717310503496,2,ZM_SoCal,0,0
0.17631320134175346,0.46058546810775436,-0.10795906542424752,2,sardRec,0,0
-0.18134428753583495,0.1673827532912525,-0.5300713283629224,2,anchBioSmrySeas1,0,0
-0.03783439865962734,0.3204558784113858,-0.3961246757306405,2,summerSST,0,0
0.1524595301043974,0.5487789193316323,-0.24385985912283747,2,avgOffTransspring,0,0
-0.03451877446551799,0.856481479125986,-0.925519028057022,2,avgOffTranssummer,0,0
-0.18323729327211258,0.33848873171569044,-0.7049633182599155,2,sprRelOffTrans,0,0
-0.04128146598065509,0.7838002766610402,-0.8663632086223503,2,sumRelOffTrans,0,0
-0.12956824091243416,0.49486285443274924,-0.7539993362576175,2,meanK,0,0
-0.09237087539812261,0.07750386684221583,-0.26224561763846105,2,OC_LUSI_39N,0,0
-0.00999515000786294,0.6877765842198215,-0.7077668842355473,2,sardSpawnHab,0,0
0.04998078264067968,0.6180765195910954,-0.5181149543097361,2,sardNurseHab,0,0
0.043744428114840375,0.5106802458989239,-0.4231913896692432,2,springSST,0,0
-0.06299611884115011,0.7646375164284865,-0.8906297541107867,2,randTest,0,0
