"","temp2","month","year","south.stock","north.stock"
"297",0.998549147624229,9,2006,1,0
"298",0.998549147624229,10,2006,1,0
"299",1,11,2006,1,0
"300",0.795429815016322,12,2006,1,0
"301",0.153064925643815,1,2007,0,1
"302",0.00108813928182763,2,2007,0,1
"303",0.00072542618788494,3,2007,0,1
"304",0.00906782734856684,4,2007,0,1
"305",0.205168822081202,5,2007,0,1
"306",0.65953246096081,6,2007,1,0
"307",0.91226388422998,7,2007,1,0
"308",0.992745738121146,8,2007,1,0
"309",0.919840406238665,9,2007,1,0
"310",0.735237857318437,10,2007,1,0
"311",0.456985707709954,11,2007,0,1
"312",0.086986760516172,12,2007,0,1
"313",-2.80157841370254e-16,1,2008,0,1
"314",-2.80157841370254e-16,2,2008,0,1
"315",-2.80157841370254e-16,3,2008,0,1
"316",0.149075081610446,4,2008,0,1
"317",0.505984766050054,5,2008,1,0
"318",0.741438622768814,6,2008,1,0
"319",0.961864370061438,7,2008,1,0
"320",1,8,2008,1,0
"321",0.998911860718172,9,2008,1,0
"322",1,10,2008,1,0
"323",0.99889012208657,11,2008,1,0
"324",0.400050803987187,12,2008,0,1
"325",0.0826985854189334,1,2009,0,1
"326",0.00979404376105798,2,2009,0,1
"327",0.0174110187338545,3,2009,0,1
"328",0.018498367791077,4,2009,0,1
"329",0.432264165379555,5,2009,0,1
"330",0.724081012380407,6,2009,1,0
"331",0.906420021762785,7,2009,1,0
"332",0.971345665578527,8,2009,1,0
"333",1,9,2009,1,0
"334",1,10,2009,1,0
"335",1,11,2009,1,0
"336",0.519767863619877,12,2009,1,0
"337",0.347911917567244,1,2010,0,1
"338",0.0421762785636562,2,2010,0,1
"339",0.117545020213157,3,2010,0,1
"340",0.0535941122401068,4,2010,0,1
"341",0.258507612138527,5,2010,0,1
"342",0.715190169033435,6,2010,1,0
"343",0.888751470802951,7,2010,1,0
"344",0.957792865138463,8,2010,1,0
"345",0.99925843529848,9,2010,1,0
"346",0.991933160472486,10,2010,1,0
"347",0.702218872572855,11,2010,1,0
"348",0.129830586080586,12,2010,0,1
"349",0.00073664825046058,1,2011,0,1
"350",1.74773390204663e-16,2,2011,0,1
"351",0.0266075388026609,3,2011,0,1
"352",0.115595302985086,4,2011,0,1
"353",0.554824793007259,5,2011,1,0
"354",0.794316886939955,6,2011,1,0
"355",0.998489717292352,7,2011,1,0
"356",1,8,2011,1,0
"357",0.996155324875048,9,2011,1,0
"358",0.806864223819241,10,2011,1,0
"359",0.220892556048974,11,2011,0,1
"360",0.0269876002917582,12,2011,0,1
"361",0.00223463687150879,1,2012,0,1
"362",0.000369139904024032,2,2012,0,1
"363",4.07009495551058e-16,3,2012,0,1
"364",0.269539501478665,4,2012,0,1
"365",0.76465035818328,5,2012,1,0
"366",0.91324689025447,6,2012,1,0
"367",0.972714190444277,7,2012,1,0
"368",0.998498498498499,8,2012,1,0
"369",1,9,2012,1,0
"370",1,10,2012,1,0
"371",0.963737469994331,11,2012,1,0
"372",0.526760927422449,12,2012,1,0
"373",0.0451851851851856,1,2013,0,1
"374",3.97829917157348e-16,2,2013,0,1
"375",0.0873015873015877,3,2013,0,1
"376",0.263082874940534,4,2013,0,1
"377",0.761929217884538,5,2013,1,0
"378",0.956171579355759,6,2013,1,0
"379",1,7,2013,1,0
"380",0.999059708509638,8,2013,1,0
"381",1,9,2013,1,0
"382",0.999633296663,10,2013,1,0
"383",0.996696439100592,11,2013,1,0
"384",0.661211938257237,12,2013,1,0
"385",0.513868138057997,1,2014,1,0
"386",0.364021157518624,2,2014,0,1
"387",0.785583740957596,3,2014,1,0
"388",0.71471796469237,4,2014,1,0
"389",0.974156025314693,5,2014,1,0
"390",0.997016712409577,6,2014,1,0
"391",1,7,2014,1,0
"392",1,8,2014,1,0
"393",1,9,2014,1,0
"394",1,10,2014,1,0
"395",1,11,2014,1,0
"396",0.99671052631579,12,2014,1,0
"397",0.993420651427325,1,2015,1,0
"398",0.971035815579181,2,2015,1,0
"399",0.93345786713399,3,2015,1,0
"400",0.804899080851504,4,2015,1,0
"401",0.745749131204512,5,2015,1,0
"402",0.907562128199812,6,2015,1,0
"403",0.996632996632997,7,2015,1,0
"404",1,8,2015,1,0
"405",1,9,2015,1,0
"406",1,10,2015,1,0
"407",1,11,2015,1,0
"408",0.991293532338309,12,2015,1,0
"409",0.784423015162016,1,2016,1,0
"410",0.976711495288442,2,2016,1,0
"411",0.854737041465767,3,2016,1,0
"412",0.831323913825725,4,2016,1,0
"413",0.628770970888462,5,2016,1,0
"414",0.741859931058447,6,2016,1,0
"415",0.992729916394039,7,2016,1,0
"416",0.999269005847954,8,2016,1,0
"417",0.998170104749052,9,2016,1,0
"418",0.996703296703297,10,2016,1,0
"419",0.994519937893432,11,2016,1,0
"420",0.752197727905454,12,2016,1,0
"421",0.453461846672217,1,2017,0,1
"422",0.111791932783605,2,2017,0,1
"423",0.513999384089003,3,2017,1,0
"424",0.787911511256251,4,2017,1,0
"425",0.827841640632825,5,2017,1,0
"426",0.9666142557652,6,2017,1,0
"427",1,7,2017,1,0
"428",1,8,2017,1,0
"429",1,9,2017,1,0
"430",0.996557659208262,10,2017,1,0
"431",0.946959304983997,11,2017,1,0
"432",0.999062353492734,12,2017,1,0
"433",0.967808463814014,1,2018,1,0
"434",0.742257051993485,2,2018,1,0
"435",0.278013242584615,3,2018,0,1
"436",0.2503271022984,4,2018,0,1
"437",0.565837418221428,5,2018,1,0
"438",0.937169772256729,6,2018,1,0
"439",0.998866213151928,7,2018,1,0
"440",1,8,2018,1,0
"441",1,9,2018,1,0
"442",1,10,2018,1,0
"443",1,11,2018,1,0
"444",0.917139699738552,12,2018,1,0
"445",0.631948530411105,1,2019,1,0
"446",0.445900334744137,2,2019,0,1
"447",0.316182253935472,3,2019,0,1
"448",0.682148303785517,4,2019,1,0
"449",0.789496404471489,5,2019,1,0
"450",0.950984384817668,6,2019,1,0
"451",0.998761242749454,7,2019,1,0
"452",0.9937106918239,8,2019,1,0
"453",1,9,2019,1,0
"454",1,10,2019,1,0
"455",1,11,2019,1,0
"456",0.730825430226975,12,2019,1,0
"457",0.199399256517067,1,2020,0,1
"458",0.133094589990024,2,2020,0,1
"459",0.401329533276057,3,2020,0,1
"460",0.617535611288857,4,2020,1,0
"461",0.913564891718962,5,2020,1,0
"462",0.946439212373618,6,2020,1,0
"463",0.988986784140969,7,2020,1,0
"464",0.967481407796883,8,2020,1,0
"465",1,9,2020,1,0
"466",1,10,2020,1,0
"467",0.976663311283674,11,2020,1,0
"468",0.677903591471322,12,2020,1,0
"469",0.270496571701391,1,2021,0,1
"470",0.0343944383461399,2,2021,0,1
"471",0.136225940177642,3,2021,0,1
"472",0.311525683618707,4,2021,0,1
"473",0.735652397256522,5,2021,1,0
"474",0.939944255760901,6,2021,1,0
"475",0.996662958843159,7,2021,1,0
"476",1,8,2021,1,0
"477",1,9,2021,1,0
"478",0.989776890656726,10,2021,1,0
"479",0.979141287622738,11,2021,1,0
"480",0.643326039387309,12,2021,1,0
